method_eco,method_comm,scenario,budget,budget_M,roadside_built,total_cost,te,habitat,rancher,hunter,recreationist,n_conservation_alts,n_alt3,n_alt1,n_alt7,choices
vector,global_linear,Balanced,20000000,20.0,False,19994468.133580524,0.24093676373336,0.45241340365838095,15.958333333333332,16.111111111111114,13.222222222222218,0,15,3,0,"3,3,3,3,3,3,3,3,3,3,11,11,3,10,3,3,1,1,3,1,3"
vector,global_linear,Balanced,40000000,40.0,False,26135036.344053358,0.6790515003735765,0.2315389801892492,16.833333333333336,15.94444444444445,15.333333333333332,1,20,0,1,"3,3,3,3,3,3,3,7,3,3,3,3,3,3,3,3,3,3,3,3,3"
vector,global_linear,Balanced,60000000,60.0,False,26135036.344053358,0.6790515003735765,0.2315389801892492,16.833333333333336,15.94444444444445,15.333333333333332,1,20,0,1,"3,3,3,3,3,3,3,7,3,3,3,3,3,3,3,3,3,3,3,3,3"
vector,global_linear,Conservation priority,5000000,5.0,True,4979879.2719159685,0.22020940684194681,0.3122362291524723,10.916666666666666,14.388888888888886,1.4444444444444444,0,1,0,0,"11,11,11,3,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,11,11"
vector,global_linear,Conservation priority,10000000,10.0,True,9968270.119561905,0.3701081916868293,0.48381363585123605,12.75,15.38888888888889,5.333333333333334,0,3,4,0,"10,3,3,3,11,11,11,1,11,11,11,11,11,10,11,11,1,1,10,1,11"
vector,global_linear,Conservation priority,20000000,20.0,True,19982784.648506586,0.3694456360655362,0.49380146631727395,16.041666666666664,16.277777777777782,12.111111111111105,0,13,5,0,"10,3,3,3,3,3,3,1,3,3,11,3,3,10,3,3,1,1,3,1,1"
vector,global_linear,Conservation priority,40000000,40.0,False,31427563.515999466,0.8818406913959641,0.9374650911992032,14.5,14.000000000000005,15.333333333333332,4,17,0,4,"3,3,3,3,7,3,3,7,3,3,3,3,3,3,3,3,3,7,3,7,3"
vector,global_linear,Conservation priority,60000000,60.0,False,31427563.515999466,0.8818406913959641,0.9374650911992032,14.5,14.000000000000005,15.333333333333332,4,17,0,4,"3,3,3,3,7,3,3,7,3,3,3,3,3,3,3,3,3,7,3,7,3"
vector,global_linear,T&E emphasis,5000000,5.0,True,4979879.2719159685,0.22020940684194681,0.3122362291524723,10.916666666666666,14.388888888888886,1.4444444444444444,0,1,0,0,"11,11,11,3,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,11,11"
vector,global_linear,T&E emphasis,10000000,10.0,True,9968270.119561905,0.42528729478835614,0.48445278546952336,12.458333333333332,15.222222222222223,5.333333333333334,1,3,3,0,"10,3,3,3,11,11,11,4,11,11,11,11,11,10,11,11,1,1,10,1,11"
