skewness,replicate,gini,concentration,method,eco_weight,budget_fraction,compressed_units,mean_alt_index,n_cheapest,n_best_conservation,n_unique_alts
uniform,11,0.22334810512091963,0.07565598293066815,within_unit,0.5,0.3,0,2.0454545454545454,5,0,7
uniform,11,0.22334810512091963,0.07565598293066815,within_unit,0.5,0.5,0,3.8181818181818183,1,1,7
uniform,11,0.22334810512091963,0.07565598293066815,within_unit,0.8,0.15,0,0.9090909090909091,8,0,4
uniform,11,0.22334810512091963,0.07565598293066815,within_unit,0.8,0.3,0,2.3181818181818183,6,0,6
uniform,11,0.22334810512091963,0.07565598293066815,within_unit,0.8,0.5,0,4.045454545454546,1,3,8
uniform,12,0.22153804905157504,0.07865960317685006,global_linear,0.5,0.15,0,0.7272727272727273,16,1,4
uniform,12,0.22153804905157504,0.07865960317685006,global_linear,0.5,0.3,0,0.7272727272727273,16,1,4
uniform,12,0.22153804905157504,0.07865960317685006,global_linear,0.5,0.5,0,0.7272727272727273,16,1,4
uniform,12,0.22153804905157504,0.07865960317685006,global_linear,0.8,0.15,0,1.0,18,2,4
uniform,12,0.22153804905157504,0.07865960317685006,global_linear,0.8,0.3,0,2.1818181818181817,11,4,6
uniform,12,0.22153804905157504,0.07865960317685006,global_linear,0.8,0.5,0,3.6818181818181817,6,8,6
uniform,12,0.22153804905157504,0.07865960317685006,vector,0.5,0.15,0,0.0,22,0,1
uniform,12,0.22153804905157504,0.07865960317685006,vector,0.5,0.3,0,0.0,22,0,1
uniform,12,0.22153804905157504,0.07865960317685006,vector,0.5,0.5,0,0.0,22,0,1
uniform,12,0.22153804905157504,0.07865960317685006,vector,0.8,0.15,0,0.45454545454545453,16,0,3
uniform,12,0.22153804905157504,0.07865960317685006,vector,0.8,0.3,0,0.45454545454545453,16,0,3
uniform,12,0.22153804905157504,0.07865960317685006,vector,0.8,0.5,0,0.45454545454545453,16,0,3
uniform,12,0.22153804905157504,0.07865960317685006,within_unit,0.5,0.15,0,0.9090909090909091,10,0,4
uniform,12,0.22153804905157504,0.07865960317685006,within_unit,0.5,0.3,0,1.9090909090909092,4,0,5
uniform,12,0.22153804905157504,0.07865960317685006,within_unit,0.5,0.5,0,3.5454545454545454,1,2,7
uniform,12,0.22153804905157504,0.07865960317685006,within_unit,0.8,0.15,0,0.9545454545454546,10,0,4
uniform,12,0.22153804905157504,0.07865960317685006,within_unit,0.8,0.3,0,2.227272727272727,4,2,7
uniform,12,0.22153804905157504,0.07865960317685006,within_unit,0.8,0.5,0,3.8636363636363638,2,3,8
uniform,13,0.22306316629672662,0.07280015003202508,global_linear,0.5,0.15,0,0.6818181818181818,15,0,4
uniform,13,0.22306316629672662,0.07280015003202508,global_linear,0.5,0.3,0,0.6818181818181818,15,0,4
uniform,13,0.22306316629672662,0.07280015003202508,global_linear,0.5,0.5,0,0.6818181818181818,15,0,4
uniform,13,0.22306316629672662,0.07280015003202508,global_linear,0.8,0.15,0,1.0,16,0,5
uniform,13,0.22306316629672662,0.07280015003202508,global_linear,0.8,0.3,0,2.1363636363636362,11,2,8
uniform,13,0.22306316629672662,0.07280015003202508,global_linear,0.8,0.5,0,3.727272727272727,7,6,7
uniform,13,0.22306316629672662,0.07280015003202508,vector,0.5,0.15,3,0.0,22,0,1
uniform,13,0.22306316629672662,0.07280015003202508,vector,0.5,0.3,3,0.0,22,0,1
uniform,13,0.22306316629672662,0.07280015003202508,vector,0.5,0.5,3,0.0,22,0,1
uniform,13,0.22306316629672662,0.07280015003202508,vector,0.8,0.15,3,0.2727272727272727,17,0,3
uniform,13,0.22306316629672662,0.07280015003202508,vector,0.8,0.3,3,0.2727272727272727,17,0,3
uniform,13,0.22306316629672662,0.07280015003202508,vector,0.8,0.5,3,0.2727272727272727,17,0,3
uniform,13,0.22306316629672662,0.07280015003202508,within_unit,0.5,0.15,0,0.8636363636363636,10,0,4
uniform,13,0.22306316629672662,0.07280015003202508,within_unit,0.5,0.3,0,2.0,7,0,7
uniform,13,0.22306316629672662,0.07280015003202508,within_unit,0.5,0.5,0,3.4545454545454546,2,2,8
uniform,13,0.22306316629672662,0.07280015003202508,within_unit,0.8,0.15,0,0.9545454545454546,13,0,6
uniform,13,0.22306316629672662,0.07280015003202508,within_unit,0.8,0.3,0,2.1818181818181817,5,1,8
uniform,13,0.22306316629672662,0.07280015003202508,within_unit,0.8,0.5,0,4.0,2,4,8
uniform,14,0.29122108831952076,0.08575087772515169,global_linear,0.5,0.15,0,0.8181818181818182,13,0,5
uniform,14,0.29122108831952076,0.08575087772515169,global_linear,0.5,0.3,0,1.0,12,0,5
uniform,14,0.29122108831952076,0.08575087772515169,global_linear,0.5,0.5,0,1.0,12,0,5
uniform,14,0.29122108831952076,0.08575087772515169,global_linear,0.8,0.15,0,0.9545454545454546,14,1,6
uniform,14,0.29122108831952076,0.08575087772515169,global_linear,0.8,0.3,0,2.090909090909091,11,2,7
uniform,14,0.29122108831952076,0.08575087772515169,global_linear,0.8,0.5,0,3.4545454545454546,7,7,7
uniform,14,0.29122108831952076,0.08575087772515169,vector,0.5,0.15,4,0.0,22,0,1
