method,roadside_built,paddock,te_count,te_min,te_max,te_spread
global_linear,True,11,4.0,1.3894013066176192e-05,0.012638923312862642,0.012625029299796465
global_linear,True,12,5.0,0.0017195785533794868,0.017896776617165766,0.01617719806378628
global_linear,True,13,1.0,0.0007107586810179166,0.004006903297021307,0.00329614461600339
global_linear,True,14,2.0,0.0010332694241412673,0.007425441405810472,0.006392171981669205
global_linear,True,15,0.0,5.360170083706313e-05,5.360170083706313e-05,0.0
global_linear,True,16,2.0,0.0,0.006175479429498209,0.006175479429498209
global_linear,True,17,13.0,0.003988780830672234,0.043006456276472246,0.03901767544580001
global_linear,True,18,21.0,0.00995287520857339,0.07256036359827457,0.06260748838970118
global_linear,True,19,28.0,0.013421446172827558,0.10030531666592989,0.08688387049310232
global_linear,True,20,5.0,0.0023456487641481463,0.01824116165551762,0.015895512891369475
global_linear,True,21,16.0,0.012482556598999104,0.06346571565584723,0.050983159056848124
global_linear,True,22,6.0,0.004970669959506662,0.025265970606262643,0.02029530064675598
vector,False,1,0.0,0.0,0.0,0.0
vector,False,2,3.0,0.0007927584102156569,0.009513100922587883,0.008720342512372225
vector,False,3,9.0,0.0023782752306469707,0.022565994733160306,0.020187719502513336
vector,False,4,8.0,0.0020799289925481803,0.017869020220570533,0.015789091228022353
vector,False,5,58.0,0.0153266625975027,0.14369668827210275,0.12837002567460004
vector,False,6,6.0,0.0015855168204313137,0.017636411800437835,0.01605089498000652
vector,False,7,28.0,0.00739907849534613,0.08541511406362384,0.07801603556827771
vector,False,8,216.0,0.057078605535527294,0.5951614361176808,0.5380828305821534
vector,False,10,2.0,0.00030807444150462505,0.004261686774840328,0.003953612333335703
vector,False,11,4.0,-9.31034023297314e-05,0.007327288987142495,0.007420392389472227
vector,False,12,5.0,0.000823132019617632,0.010423838851841644,0.009600706832224012
vector,False,13,1.0,0.00026425280340521896,0.002312042503025104,0.002047789699619885
vector,False,14,2.0,0.0005008110322808841,0.0042764407148301944,0.0037756296825493104
vector,False,15,0.0,0.0,0.0,0.0
vector,False,16,2.0,-6.503286238774287e-05,0.0035325975179446873,0.00359763038033243
vector,False,17,13.0,0.0019230863349118006,0.02438525853215994,0.02246217219724814
vector,False,18,21.0,0.005046454957975868,0.04098562455310269,0.035939169595126816
vector,False,19,28.0,0.006821052855321977,0.057538762004255756,0.05071770914893378
vector,False,20,5.0,0.0011659835529355409,0.010535303733275611,0.00936932018034007
vector,False,21,16.0,0.004228044854483503,0.03659932723407438,0.032371282379590874
vector,False,22,6.0,0.0015855168204313137,0.014831570778576652,0.013246053958145338
vector,True,1,0.0,0.0,0.0,0.0
vector,True,2,3.0,0.0020771952864025076,0.00919651718358781,0.007119321897185301
vector,True,3,9.0,0.0047343982094079804,0.02196397498630339,0.01722957677689541
vector,True,4,8.0,0.0023042375206196613,0.017294804675177997,0.014990567154558336
vector,True,5,58.0,0.023572965915298068,0.1374534756395383,0.11388050972424024
vector,True,6,6.0,0.0035765225794189086,0.016854627626890183,0.013278105047471274
vector,True,7,28.0,0.01739157269818442,0.081506791478192,0.06411521878000757
vector,True,8,216.0,0.11715775733675608,0.5676971678378329,0.45053941050107676
vector,True,10,2.0,0.00035637260824476823,0.004108395893715561,0.0037520232854707926
vector,True,11,4.0,-2.2543150240116562e-05,0.007145034421472721,0.007167577571712837
vector,True,12,5.0,0.0009458210384880714,0.010130062853833418,0.009184241815345346
vector,True,13,1.0,0.0003730861545259747,0.002244398423335426,0.0018713122688094512
vector,True,14,2.0,0.0005561844043719878,0.0041851968559377065,0.003629012451565719
vector,True,15,0.0,0.0,0.0,0.0
vector,True,16,2.0,-3.043116491868963e-05,0.0034755589442812106,0.0035059901091999
vector,True,17,13.0,0.0022341097990270587,0.024385520998539714,0.022151411199512656
vector,True,18,21.0,0.005620090780418692,0.041164089843496385,0.035543999063077696
vector,True,19,28.0,0.007589294245925369,0.056915665433040365,0.049326371187115
vector,True,20,5.0,0.001301258376054909,0.010325579744789388,0.009024321368734479
