method,scenario,budget,budget_M,roadside_built,total_cost,n_conservation_alts,n_alt3,n_unique_alts,te_score,habitat_score,recreationist_score,hunter_score,rancher_score,alt_distribution
vector,Rancher-conservation,40000000,40.0,True,23782387.46941933,0,21,1,0.2217397673707323,0.24505325719597496,15.333333333333332,16.22222222222223,17.166666666666668,"{""3"": 21}"
vector,Rancher-conservation,60000000,60.0,True,23782387.46941933,0,21,1,0.2217397673707323,0.24505325719597496,15.333333333333332,16.22222222222223,17.166666666666668,"{""3"": 21}"
vector,Hunter-recreationist,5000000,5.0,True,4979879.2719159685,0,1,3,0.22020940684194681,0.3122362291524723,1.4444444444444444,14.388888888888886,10.916666666666666,"{""3"": 1, ""10"": 1, ""11"": 19}"
vector,Hunter-recreationist,10000000,10.0,False,9982982.922261873,0,4,3,0.1816523821961015,0.1886279375556406,6.666666666666667,15.444444444444441,12.083333333333334,"{""3"": 4, ""10"": 5, ""11"": 12}"
vector,Hunter-recreationist,20000000,20.0,False,19996653.545480616,0,12,3,0.20995349246141376,0.23938375588540842,13.333333333333332,17.055555555555554,14.916666666666666,"{""3"": 12, ""10"": 7, ""11"": 2}"
vector,Hunter-recreationist,40000000,40.0,True,23782387.46941933,0,21,1,0.2217397673707323,0.24505325719597496,15.333333333333332,16.22222222222223,17.166666666666668,"{""3"": 21}"
vector,Hunter-recreationist,60000000,60.0,True,23782387.46941933,0,21,1,0.2217397673707323,0.24505325719597496,15.333333333333332,16.22222222222223,17.166666666666668,"{""3"": 21}"
within_unit,Balanced,5000000,5.0,True,4970423.347370001,0,0,2,1.8889024565875283,1.9945945695524225,0.5555555555555556,14.22222222222222,11.0,"{""1"": 2, ""11"": 19}"
within_unit,Balanced,10000000,10.0,True,9946936.162692968,0,1,3,3.504114029484035,3.6098061424489294,3.3333333333333335,15.222222222222225,13.291666666666666,"{""1"": 9, ""3"": 1, ""11"": 11}"
within_unit,Balanced,20000000,20.0,False,19946504.378437966,3,1,4,7.6165862042081125,8.03160572695701,7.333333333333332,14.611111111111118,13.583333333333332,"{""1"": 15, ""3"": 1, ""7"": 3, ""11"": 2}"
within_unit,Balanced,40000000,40.0,False,39902636.3582136,13,0,2,14.19930371740361,15.477465822964307,12.444444444444438,9.277777777777779,8.208333333333334,"{""1"": 8, ""7"": 13}"
within_unit,Balanced,60000000,60.0,False,59880328.29678419,20,0,2,18.27524307118542,20.27524307118542,15.111111111111109,5.666666666666668,4.416666666666667,"{""1"": 1, ""7"": 20}"
within_unit,Conservation priority,5000000,5.0,True,4959691.812724,1,0,2,2.2375817022302305,2.3432738151951247,0.6666666666666666,13.333333333333329,10.0,"{""7"": 1, ""11"": 20}"
within_unit,Conservation priority,10000000,10.0,True,9976335.962165,7,0,3,5.209829894955927,5.315522007920822,3.222222222222222,12.33333333333333,8.666666666666668,"{""4"": 5, ""7"": 2, ""11"": 14}"
within_unit,Conservation priority,20000000,20.0,False,19991605.561476,17,0,3,10.054215812706179,10.090024065258582,6.555555555555555,9.555555555555559,5.166666666666667,"{""4"": 13, ""7"": 4, ""11"": 4}"
within_unit,Conservation priority,40000000,40.0,False,39884507.122633606,21,0,4,15.317480562197247,17.317480562197247,12.444444444444438,5.888888888888889,3.8333333333333326,"{""4"": 5, ""5"": 1, ""6"": 1, ""7"": 14}"
within_unit,Conservation priority,60000000,60.0,False,59083328.65396619,21,0,2,18.566058674857317,20.566058674857317,14.666666666666664,5.1111111111111125,3.8333333333333326,"{""6"": 1, ""7"": 20}"
within_unit,T&E emphasis,5000000,5.0,True,4959691.812724,1,0,2,2.2375817022302305,2.3432738151951247,0.6666666666666666,13.333333333333329,10.0,"{""7"": 1, ""11"": 20}"
within_unit,T&E emphasis,10000000,10.0,True,9976335.962165,7,0,3,5.209829894955927,5.315522007920822,3.222222222222222,12.33333333333333,8.666666666666668,"{""4"": 5, ""7"": 2, ""11"": 14}"
within_unit,T&E emphasis,20000000,20.0,False,19991605.561476,17,0,3,10.054215812706179,10.090024065258582,6.555555555555555,9.555555555555559,5.166666666666667,"{""4"": 13, ""7"": 4, ""11"": 4}"
within_unit,T&E emphasis,40000000,40.0,False,39773041.4334584,19,0,5,16.144473206456624,16.18028145900903,11.33333333333333,6.000000000000001,4.333333333333333,"{""4"": 2, ""5"": 1, ""6"": 3, ""7"": 13, ""11"": 2}"
within_unit,T&E emphasis,60000000,60.0,False,59083328.65396619,21,0,2,18.566058674857317,20.566058674857317,14.666666666666664,5.1111111111111125,3.8333333333333326,"{""6"": 1, ""7"": 20}"
within_unit,Habitat emphasis,5000000,5.0,True,4959691.812724,1,0,2,2.2375817022302305,2.3432738151951247,0.6666666666666666,13.333333333333329,10.0,"{""7"": 1, ""11"": 20}"
within_unit,Habitat emphasis,10000000,10.0,True,9976335.962165,7,0,3,5.209829894955927,5.315522007920822,3.222222222222222,12.33333333333333,8.666666666666668,"{""4"": 5, ""7"": 2, ""11"": 14}"
within_unit,Habitat emphasis,20000000,20.0,False,19990023.054961998,19,0,3,9.491878235921227,10.39451525682213,6.5555555555555545,9.555555555555559,4.666666666666666,"{""4"": 16, ""7"": 3, ""11"": 2}"
