scenario,budget,budget_label,total_cost,objective_value,te_score,habitat_score,rancher_score,hunter_score,recreationist_score,mean_fire_risk_reduction,overall_score
Community priority,60000000,$60M,43245168.15450396,13.357183278509135,8.437487683951577,8.57434510113978,14.833333333333334,14.27777777777778,15.33333333333333,0.012431484547645909,61.4562772295358
Rancher-conservation,5000000,$5M,4998301.757261832,8.267654109862454,4.078423646693187,4.358859459423298,12.5,16.222222222222225,14.222222222222218,0.005362724659780068,51.381727550560925
Rancher-conservation,10000000,$10M,9915121.134807535,9.35451710362244,5.897982967546497,6.178418780276608,13.541666666666668,15.944444444444448,11.999999999999996,0.007279662399065522,53.56251285893421
Rancher-conservation,20000000,$20M,19824714.912610456,10.776595696845614,8.602767331423685,9.02861545595877,14.375,15.388888888888891,9.111111111111107,0.010586557959399544,56.50638278738246
Rancher-conservation,40000000,$40M,39263708.7501816,12.232573277692156,13.071898835937295,14.35006094149799,11.708333333333332,12.611111111111112,11.111111111111109,0.012534063222752728,62.85251533299084
Rancher-conservation,60000000,$60M,59262167.000045195,12.918017714714738,18.646954376649127,19.925116482209823,6.166666666666666,7.333333333333332,14.22222222222222,0.012705194486454206,66.29429308108116
Hunter-recreationist,5000000,$5M,4808987.553098827,12.929150534179865,3.788868097867596,4.069303910597707,12.291666666666666,16.222222222222225,15.33333333333333,0.0053550360039574555,51.70539423068752
Hunter-recreationist,10000000,$10M,9688825.9813793,13.068909274141546,6.2876617976760025,6.568097610406113,11.541666666666666,15.388888888888891,15.33333333333333,0.006446791517058819,55.119648296971
Hunter-recreationist,20000000,$20M,19934617.92754285,13.235979823955068,7.939681213410277,8.220117026140388,12.0,14.833333333333337,15.33333333333333,0.008578087670047453,58.32646490621733
Hunter-recreationist,40000000,$40M,39512614.462957546,13.419313924093668,10.028140911874214,10.164998329062417,13.0,14.000000000000004,15.33333333333333,0.011812289204457342,62.52647257426996
Hunter-recreationist,60000000,$60M,39512614.462957546,13.419313924093668,10.028140911874214,10.164998329062417,13.0,14.000000000000004,15.33333333333333,0.011812289204457342,62.52647257426996
